frequency,intensity,lower_state,upper_state
-37.03434292114508,2.6523014404403705e-05,"(4, 25, 3)","(2, 24, 2)"
-36.944121981323235,3.6718498662863426e-05,"(1, 28, 3)","(0, 27, 2)"
-36.94230326218852,3.6720468003460734e-05,"(1, 28, 1)","(0, 27, 0)"
-36.90904268887755,9.427197362623208e-07,"(5, 25, 3)","(2, 25, 2)"
-36.87987126788619,2.6822551311490646e-05,"(11, 25, 3)","(10, 25, 2)"
-36.87987126788602,2.6822551311486004e-05,"(10, 25, 0)","(10, 25, 1)"
-36.8715361112078,2.3831689608176133e-07,"(3, 23, 0)","(1, 23, 1)"
-36.836040736551546,2.2746975270871886e-07,"(4, 17, 3)","(1, 16, 2)"
-36.82189669566054,3.703748967621029e-05,"(10, 28, 1)","(10, 28, 0)"
-36.821896695660485,3.703748967621239e-05,"(10, 28, 2)","(9, 28, 3)"
-36.77973715178484,4.1181661724181015e-08,"(5, 18, 0)","(2, 18, 1)"
-36.77389540995017,0.0008646848742521868,"(8, 23, 2)","(7, 22, 3)"
-36.773895409950086,0.0008646848742520548,"(8, 23, 1)","(8, 22, 0)"
-36.75105767614892,9.610716945657854e-05,"(3, 29, 0)","(2, 28, 1)"
-36.748823823244635,9.59931593504234e-05,"(3, 29, 1)","(2, 28, 0)"
-36.74320021212597,3.670029020584678e-05,"(4, 26, 2)","(3, 25, 3)"
-36.72502575463007,2.793181725935012e-07,"(4, 22, 2)","(1, 22, 3)"
-36.7091597635947,6.980716043335613e-08,"(5, 19, 3)","(2, 19, 2)"
-36.68123211526044,2.186727878569722e-07,"(6, 16, 2)","(4, 16, 3)"
-36.68123201668662,2.186727881149657e-07,"(6, 16, 1)","(5, 16, 0)"
-36.644335282863864,0.0004859410664224755,"(6, 29, 2)","(5, 28, 3)"
-36.64428370108189,0.00048594135207454767,"(6, 29, 1)","(6, 28, 0)"
-36.643682031260255,6.958169469363167e-07,"(5, 24, 0)","(2, 24, 1)"
-36.62949630463379,3.0931420040375684e-06,"(5, 24, 3)","(4, 24, 2)"
-36.62151806963291,3.0935877092876987e-06,"(6, 24, 0)","(4, 24, 1)"
-36.61767579052702,1.1648690755781615e-07,"(5, 20, 0)","(2, 20, 1)"
-36.584896633608906,0.0009909472113849081,"(9, 21, 3)","(8, 20, 2)"
-36.58489663360888,0.0009909472113849437,"(8, 21, 0)","(8, 20, 1)"
-36.5725122682696,5.8982963977992444e-08,"(3, 18, 0)","(0, 17, 1)"
-36.54449451629297,2.3200628761535914e-05,"(4, 23, 2)","(2, 22, 3)"
-36.53288981328876,1.9149866719092255e-07,"(5, 21, 3)","(2, 21, 2)"
-36.53155859367723,0.0010834526878578654,"(9, 19, 1)","(9, 18, 0)"
-36.53155859367709,0.0010834526878577893,"(9, 19, 2)","(8, 18, 3)"
